lat,lng,max temp,humidity,cloudiness,wind speed,country,date
66.9395,-53.6735,255.78,93,100,4.62,GL,1644185777
0.5738,12.8642,295.78,46,3,0.82,GA,1644185778
1,-52,295.46,99,100,1.24,BR,1644185780
33.6416,42.8251,283.96,53,40,1.11,IQ,1644185781
68.75,161.3,237.93,100,22,0.79,RU,1644185782
39.05,-27.9833,288.61,86,46,6.69,PT,1644185710
71.9167,114.0833,242.44,100,96,1.06,RU,1644185531
69.4865,88.3972,239.97,99,55,0.73,RU,1644185786
18.7833,83.4333,290.09,84,95,1.14,IN,1644185787
38.5167,-28.7,289.5,84,11,4.1,PT,1644185504
4.95,-6.0833,299.31,83,73,2.86,CI,1644185790
5.9749,116.0724,297.14,94,20,1.54,MY,1644185791
53.1561,24.4513,274.44,98,100,7.92,BY,1644185793
-2.85,32.4333,291.46,70,99,0.54,TZ,1644185794
-17.7125,-39.2481,298.72,83,6,3.33,BR,1644185795
40.5982,-124.1573,293.38,93,0,5.66,US,1644185666
69.7008,170.3133,241.96,99,23,0.18,RU,1644185798
62.456,-114.3525,255.6,91,100,4.63,CA,1644185799
-34.6132,-58.3772,295,58,40,3.09,AR,1644185795
8.5063,-77.2778,300.43,68,5,3.99,CO,1644185801
4.9333,-52.3333,299.87,87,40,1.79,GF,1644185803
4.1363,96.1285,296.85,91,100,1.8,ID,1644185804
13.5728,-8.0339,294.81,10,0,4.34,ML,1644185806
42.2506,-75.833,270.88,71,0,1.34,US,1644185808
31.4044,30.4164,284.05,69,0,2.9,EG,1644185809
-34.4187,19.2345,293.04,95,11,2.53,ZA,1644185566
-28.4696,-65.7852,299.69,51,38,1.79,AR,1644185812
10.5669,72.642,298.58,69,20,4.3,IN,1644185813
66.7697,123.3711,239.45,99,95,2.5,RU,1644185815
65.441,52.1498,263.91,90,100,4.54,RU,1644185816
5.8941,5.6767,297.69,85,2,1.82,NG,1644185817
26.5412,-77.0636,296.9,72,83,5.91,BS,1644185819
36.9665,-2.206,282.95,76,0,3.09,ES,1644185820
22.6163,120.3133,289.28,84,75,0.45,TW,1644185823
69.4541,-133.0374,245.25,98,100,6.14,CA,1644185578
-31.95,141.4333,295.11,41,3,8.95,AU,1644185826
17.4189,121.4443,293.64,97,100,0.71,PH,1644185827
7.0626,-4.4995,299.75,54,51,2.83,CI,1644185829
11.6667,92.75,298.82,81,11,4.63,IN,1644185830
51.55,-9.2667,283.21,85,93,5.95,IE,1644185832
-20.0637,30.8277,291.67,79,93,4.21,ZW,1644185833
50.05,46.8833,263.12,96,97,1.95,RU,1644185834
39.1834,-84.5333,277.58,61,0,0.45,US,1644185805
13.15,-14.1167,301.3,10,0,2.71,SN,1644185584
17.9583,-102.2,301.77,50,6,5.09,MX,1644185838
45.3267,41.5253,273.12,96,100,1.7,RU,1644185839
-30.1811,-50.2056,296.56,68,2,7.12,BR,1644185664
77.484,-69.3632,247.87,60,30,3.18,GL,1644185660
71.6872,128.8694,246.6,99,100,2.16,RU,1644185845
57.1334,103.9112,259.48,98,100,1.24,RU,1644185846
58.3814,97.4531,264.04,97,100,0.54,RU,1644185848
-20.3267,30.0665,292.8,73,69,4.46,ZW,1644185852
3.0707,172.7902,300.85,76,38,7.54,KI,1644185658
-26.6167,-54.1333,298.03,36,0,1.84,AR,1644185856
27.4481,67.7978,289.19,34,46,3.86,PK,1644185857
65.5833,-171,248.86,92,15,2.83,RU,1644185860
37.5683,126.9778,263.84,50,26,1.33,KR,1644185412
24.1877,102.817,277.34,87,0,0.65,CN,1644185862
15.85,-97.0667,301.61,61,0,2.06,MX,1644185864
13.6408,16.4901,292.29,10,0,5.38,TD,1644185865
39.3742,49.2472,278.89,76,61,4.47,AZ,1644185866
20.8947,-156.47,301.74,65,0,8.23,US,1644185867
-19.2333,17.7167,291.9,78,84,4.07,NA,1644185869
17.0151,54.0924,298.2,31,0,4.63,OM,1644185665
71.0357,27.8492,266.1,87,29,6.29,NO,1644185871
-29.9533,-71.3436,292,77,40,5.66,CL,1644185855
58.9564,126.2925,239.49,99,43,0.53,RU,1644185874
45.1805,-89.6835,270.02,87,100,3.09,US,1644185639
48.9329,-125.5528,282.09,87,81,1.79,CA,1644185805
34.2257,-77.9447,283.68,67,48,3.7,US,1644185878
-8.9266,125.4092,289.1,89,89,0.9,TL,1644185879
36.0564,103.7922,258.75,94,93,0.42,CN,1644185880
53.5237,-2.4935,278.9,79,62,4.92,GB,1644185882
72.7868,-56.1549,247.46,99,100,4.48,GL,1644185650
-20.3428,57.7575,299.38,89,40,4.12,MU,1644185884
39.0062,-77.4286,276.23,44,0,3.13,US,1644185744
14.4,46.4667,289.67,38,100,1.43,YE,1644185887
32.8085,-98.1128,288,30,0,0,US,1644185888
26.3544,127.8686,287.72,76,100,3.6,JP,1644185889
27.6652,54.1371,282.03,47,0,2.47,IR,1644185891
-32.5833,151.7833,296.1,78,33,2.97,AU,1644185893
